title,overview,release_data,popularity,vote_count,original_language,vote_average
Don't Look Now,"While grieving a terrible loss, a married couple meet two mysterious sisters, one of whom gives them a message sent from the afterlife.",1973-10-11,1.7922,1079,en,6.9
One Piece Film: Strong World,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",2009-12-12,2.2025,356,ja,7.445
Evergreen,"Seduced by a boy's affluent, seemingly idyllic family, a young girl goes to extremes to gain acceptance.",2004-01-01,2.3378,2,en,4.5
My Brother's War,"Civil War drama directed by Whitney Hamilton. Grace Kieler disguises herself as a man and takes her brother's place in the Confederate army in an effort to protect him from the horrors of the war. When she meets young war widow Virginia Klaising (Dana Bennison), the two form a bond that may get complicated once Grace reveals her true identity. My Brother's War is based on Hamilton's novel",2005-09-01,0.7147,1,en,1.0
Salomé,"Based on Oscar Wilde's play, the films tells the story of how Salomé agrees to dance for King Herod in return for the head of John the Baptist.",1923-02-15,0.778,33,en,6.1
102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",2000-10-07,1.9334,1379,en,5.5
Young Sister-In-Law,"Three men and women start living together. Byeong-soo is chosen in a scenario contest and is picked to write a script for a movie, so he leaves the noisy city and moves in with his married senior from school. At the house is Ji-eun, the senior's wife and a young and sexy Bo-yeong.  The three living together leads to some risky situations!",2016-09-27,1.9168,1,ko,4.0
Justice League: Crisis on Two Earths,"A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman's counterpart Owlman, puts the balance of all existence in peril.",2010-02-23,2.0904,714,en,7.3
Suzume Lovely Tropical Bird,"A beautiful girl with a mysterious attraction and softly swaying G-cups! Enjoy the lovely chirping of Suzume and her beautiful body, captured in the south of Japan!",2021-02-18,1.6335,0,ja,0.0
Batch '81,"Sid Lucero, a 26-year old pre-Med student is an aspiring neophyte of the Alpha Kappa Omega fraternity. Over a six-month initiation period, he and six other neophytes are subjected to severe physical and psychological torture in and outside the fraternity house.",1982-11-18,1.8327,13,tl,4.8
Someone Like You...,"Jane Goodale has everything going for her. She's a producer on a popular daytime talk show, and is in a hot romance with the show's dashing executive producer Ray. But when the relationship goes terribly awry, Jane begins an extensive study of the male animal, including her womanizing roommate Eddie. Jane puts her studies and romantic misadventure to use as a pseudonymous sex columnist -- and becomes a sensation.",2001-03-30,2.0934,389,en,6.0
Bill & Ted's Excellent Adventure,"Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.",1989-02-17,2.7765,1898,en,6.9
Great Expectations,"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",1946-12-26,1.8217,342,en,7.3
Twisted,"Recently promoted and transferred to the homicide division, Inspector Jessica Shepard feels pressure to prove herself -- and what better way than by solving San Francisco's latest murder? However, as Shepard and her partner, Mike Delmarco, soon discover, the victim shared a romantic connection to her. As more of Shepard's ex-lovers turn up dead, her mind starts to become unstable, and she begins to wonder if she could be the very killer she's trying to track down.",2004-02-27,2.0174,540,en,5.6
Darkland: The Return,"Seven years ago, Zaid went to war against the Copenhagen underworld to avenge his dead brother. His identity as a respected doctor of cardiology and life as a family man is but a fading dream, and in prison Zaid suffers the loss of his son Noah, whom he barely knows. When a police agent approaches Zaid and offers him a deal to be released in exchange for infiltrating the Copenhagen underworld, he sees his chance to reclaim the remnants of the family life he left behind. But everything has a price, and Zaid realizes that he has now seriously endangered his son's life. After all, once you become part of the underworld, is there any way out?",2023-04-13,1.7933,555,da,6.41
Wishmaster 4: The Prophecy Fulfilled,"The unspeakable evil of the soul-devouring djinn rises again in this fourth electrifying installment of the unstoppable Wishmaster horror legacy! But now, as a host of new victims see their most nightmarish wishes come true, the world faces the ultimate demonic terror: an onslaught of multiple djinns hell-bent on destroying everything in their path!",2002-06-10,1.9301,158,en,4.4
Niagara,"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.",1953-01-26,1.7933,392,en,6.8
Duck,An aging widower and a duck encounter helpful and hostile characters as they search for a place and a reason to live.,2005-03-11,0.7417,6,en,6.3
Rye Lane,"Two twenty-somethings, both reeling from bad break-ups, connect over the course of an eventful day in South London – helping each other deal with their nightmare exes, and potentially restoring their faith in romance.",2023-03-17,2.0086,202,en,7.084
Invasion of the Bee Girls,A powerful cosmic force is turning Earth women into queen bees who kill men by wearing them out sexually.,1973-06-01,1.8544,66,en,4.6
She's Having a Baby,"Jake and Kristy Briggs are newlyweds. Being young, they are perhaps a bit unprepared for the full reality of marriage and all that it (and their parents) expect from them. Do they want babies? Their parents certainly want them to. Is married life all that there is? Things certainly aren't helped by Jake's friend Davis, who always seems to turn up just in time to put a spanner in the works.",1988-02-05,1.7082,206,en,5.9
True Story,"A drama centered on the relationship between journalist Michael Finkel and Christian Longo, an FBI Most Wanted List murderer who for years lived outside the U.S. under Finkel's name.",2015-04-17,1.788,1976,en,6.255
L.I.E.,"With his mother dead and his father busy at work, Howie feels adrift in his New York suburb. He and his friend Gary spend their time burglarizing their neighbors' homes — until they make the mistake of robbing the house of Big John, a macho former Marine who is also an unrepentant pedophile. He propositions Howie, who declines, but the two eventually develop an unlikely and dangerous friendship.",2001-09-07,2.2206,124,en,6.802
Shaurya,"Maj. Siddhant Chaudhary, an Indian Army lawyer, attempts to defend Capt. Javed Khan who is accused of killing a decorated officer. The problem is that Khan does not wish to be defended and freely admits to his crime.",2008-04-04,2.0192,12,hi,6.8
Something Wild,"A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-con husband shows up.",1986-11-07,1.6667,350,en,6.6
Sophie's Choice,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",1982-12-08,1.831,867,en,7.3
Empire of the Ants,"A Florida real estate developer and her captain lure investors to a property in the Everglades called Dreamland Shores, under false pretenses that the swampland will soon be developed. After the group arrives on a small island, they find it has been overrun by giant mutated ants, brought on by the dumping of toxic waste in the area.",1977-06-29,1.8298,117,en,4.9
About a Boy,"Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up.",2002-04-26,2.0002,2244,en,6.7
Bullet Proof,"The Thief  pulls off the robbery of a lifetime when he robs the psychotic drug lord, Temple. The plan goes off without a hitch until the Thief discovers a stowaway in his getaway car - Temple's pregnant wife, Mia.",2022-08-19,1.7869,56,en,5.214
Girlfriend 19,"Intimate memories and twisted hallucinations plague Bethany after her ex-boyfriend shows up on her doorstep, wanting back in.",2014-01-17,2.3082,2,en,4.0
Model Behaviour,A detective hunts a serial killer who resides within the fashion and modeling industry.,2013-01-01,1.7869,6,en,2.9
Rising Sun,"When a prostitute is found dead in a Los Angeles skyscraper occupied by a large Japanese corporation, detectives John Connor and Web Smith are called in to investigate. Although Connor has previous experience working in Japan, cultural differences make their progress difficult until a security disc showing the murder turns up. Close scrutiny proves the disc has been doctored, and the detectives realize they're dealing with a cover-up as well.",1993-07-30,1.6986,767,en,6.2
Danger Street,"Magazine owners sell a revealing photo, then play detective when the deal leads to murder.",1947-06-20,1.7866,1,en,4.0
The Great Adventure,"A vixen mother invades a chicken coop to provide food for her cubs. She continues to raid the coop until she is shot by a farmer. The cubs are attacked by the farmer and only one survives. An otter trapped in a burrow is rescued by 10-year-old Anders and his six-year-old brother, Kjell. In secret, the boys cage the animal and finally domesticate it. They obtain food for the Otter by fishing through the ice on a frozen lake. The boys manage to keep their secret from their family. On the eve of the May Day festival, Kjell reveals to family and friends the otter's presence. Anders is so distressed that he runs into the woods with the otter. The otter breaks away and returns to its life of natural freedom. The film was a prize winner at the 1954 Cannes Film Festival.",1953-09-28,1.7866,17,en,6.9
Polite Society,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",2023-04-27,1.7861,179,en,6.3
Contagio,Calvin and Iris's dream vacation turns into a nightmare when a satellite the government claimed to have destroyed crashes near their campsite and releases a deadly toxic cloud.,2009-12-02,2.6353,8,en,3.6
Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,2015-10-02,1.8101,655,en,7.2
Mercy Falls,"A group of friends set off into the Scottish Highlands in search of a long lost cabin. Once far from civilization, an unforeseen tragedy befalls the group and one bad decision leads to suspicion, betrayal and murder.",2023-09-01,1.8559,23,en,5.7
Unfrosted,"In a time when breakfast is ruled by milk and cereal, a fierce corporate battle begins over a revolutionary new pastry.",2024-04-30,1.7855,301,en,5.3
Crime Busters,An attempted robbery turns to be an unexpected recruitment when two unemployed men mistakenly break into a police office instead of a store.,1977-04-01,2.3071,650,it,7.0
The Great Adventure,"A vixen mother invades a chicken coop to provide food for her cubs. She continues to raid the coop until she is shot by a farmer. The cubs are attacked by the farmer and only one survives. An otter trapped in a burrow is rescued by 10-year-old Anders and his six-year-old brother, Kjell. In secret, the boys cage the animal and finally domesticate it. They obtain food for the Otter by fishing through the ice on a frozen lake. The boys manage to keep their secret from their family. On the eve of the May Day festival, Kjell reveals to family and friends the otter's presence. Anders is so distressed that he runs into the woods with the otter. The otter breaks away and returns to its life of natural freedom. The film was a prize winner at the 1954 Cannes Film Festival.",1953-09-28,0.7022,17,en,6.9
Polite Society,"Martial artist-in-training Ria Khan believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood.",2023-04-27,2.0892,179,en,6.3
Contagio,Calvin and Iris's dream vacation turns into a nightmare when a satellite the government claimed to have destroyed crashes near their campsite and releases a deadly toxic cloud.,2009-12-02,2.6353,8,en,3.6
Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,2015-10-02,1.8101,655,en,7.2
Mercy Falls,"A group of friends set off into the Scottish Highlands in search of a long lost cabin. Once far from civilization, an unforeseen tragedy befalls the group and one bad decision leads to suspicion, betrayal and murder.",2023-09-01,1.8559,23,en,5.7
Unfrosted,"In a time when breakfast is ruled by milk and cereal, a fierce corporate battle begins over a revolutionary new pastry.",2024-04-30,2.0335,301,en,5.3
Crime Busters,An attempted robbery turns to be an unexpected recruitment when two unemployed men mistakenly break into a police office instead of a store.,1977-04-01,2.3071,650,it,7.0
Agent,"Ramakrishna aka Ricky's only one goal in life is to be a RAW recruitee and undertake some Planet-saving mission. Mahadev, RAW head, ropes him in for the most important mission ever known and unknown to even the Prime Minister of India. Ricky must tame The God, the megalomaniacal lynchpin of a giant-sized crime syndicate.",2023-04-27,2.0313,2,te,6.0
Emanuelle and the Last Cannibals,Intrepid photographer Emanuelle is taken deep into the Amazonian jungle to search for a cannibalistic tribe long believed to be extinct.,1977-10-21,2.0792,107,it,5.1
Youth,"Two lifelong friends bond whilst vacationing in a luxury Swiss Alps lodge as they ponder retirement. While Fred has no plans to resume his musical career despite the urging of his loving daughter Lena, Mick is intent on finishing the screenplay for what may be his last important film for his muse Brenda. And where will inspiration lead their younger friend Jimmy, an actor grasping to make sense of his next performance?",2015-05-20,2.788,2072,it,6.904
Z,"Amid a tense political climate, the opposition leader is killed in an apparent accident. When a prosecutor smells a cover-up, witnesses get targeted. A thinly veiled dramatization of the assassination of Greek politician Grigoris Lambrakis and its aftermath, “Z” captures the outrage at the US-backed junta that ruled Greece at the time of its release.",1969-02-26,1.9463,555,fr,7.8
Breaking the Waves,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.",1996-07-05,1.5314,1003,da,7.5
Tiger Over Wall,"Based on actual events that took place in Shanghai 1919, Hwang Jang Lee portrays a ruthless Police Captain, who will stop at nothing in his quest for power even framing an innocent man and sending him mad.  The Man's family can not tolerate the injustice and fight back with some of the meanest Kung Fu techniques ever witnessed, without doubt one of the best films from the two kings of Kung Fu: Hwang Jang Lee & Phillip Ko.",1980-05-25,0.7535,4,zh,5.2
Hitman: Agent Jun,A failing webtoon artist finds he's drawn a target on his own back after publishing a story containing real secrets from his former life as a superspy.,2020-01-22,1.8814,71,ko,7.2
The Bad Guys: Reign of Chaos,"A respectable village head decides to keep his son away from the violent politics of rural life. However, fate intervenes, forcing the young man to not only return home, but also take up the sickle.",2019-09-11,1.9692,138,ko,6.9
Find Me,"Twelve years after the sudden disappearance of a teenage boy, six of his closest friends reunite for a weekend at their childhood hideaway. The reunion quickly turns ugly as secrets are revealed and the truth about what happened to the boy is discovered.",2012-10-19,2.3936,1,en,6.0
Taps,Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.,1981-12-20,1.9303,272,en,6.8
Father’s Chair,"Theo is living the good life in an upscale Brazilian neighborhood. He’s a hardworking doctor, husband, and father. However, Theo has chosen his career over his family, and little by little he discovers that his world is crumbling around him. His beloved mentor and surrogate father is dying, and his wife announces that she wants a divorce. Yet nothing prepares him for the day when he comes home to discover that his 15-year-old son, Pedro, has disappeared. Theo takes to the road in search of his son. In a journey that leads him throughout Brazil, Theo discovers what really matters to him. Searching for his missing son, Theo finds himself.",2012-01-20,0.7531,59,pt,6.9
Jugular,"Jack is straight off the plane. He has few friends and no money. In desperation, he accepts an apartment formerly housed by the main suspect in a serial murder case - John Ellroy. Plagued by insomnia, Jack broods in the apartment and wanders the inner-city streets of Melbourne. His loneliness leads him into a friendship with a teenage addict Janie, and into a bizarre obsession with Ellroy. Jack struggles to retain his sanity as his world spirals into madness and violence.",2014-02-01,0.6946,2,en,6.5
Monsters of Man,"A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",2020-11-19,1.836,351,en,6.4
Ben 10: Race Against Time,"Ben, Gwen, and Max must stop an extraterrestrial who plans to open a gateway that leads to an alien invasion.",2008-02-11,2.2374,324,en,5.7
A Magnificent Haunting,An aspiring actor discovers that his spacious new apartment comes complete with eight friendly ghosts.,2012-03-16,3.4998,249,it,6.5
Save the Last Dance,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.",2001-01-12,1.8277,1279,en,6.525
Before We Fall in Love Again,It has been a month Chang's wife Ling Yue has been missing. With no reasons one fine day she went to work as usual and then never returns. No one knows where she went or what had happened to her. Chang could not figure out why she disappears out of the sudden. She left no message of whatever kind or clues. One day a man named Tong shows up and claims to be Ling Yues lover. Apparently Tong is looking for Ling Yue too. In a turn of event both men formed an uneasy alliance in order to find Ling Yue,2006-04-03,1.7839,3,zh,5.0
Stealing Beauty,"Lucy Harmon, an American teenager is arriving in the lush Tuscan countryside to be sculpted by a family friend who lives in a beautiful villa. Lucy visited there four years earlier and exchanged a kiss with an Italian boy with whom she hopes to become reacquainted.",1996-03-29,1.8193,569,en,6.7
Man on a Ledge,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.",2012-01-13,2.0996,2631,en,6.4
Element of Survival,"Beyond the sprawl of the urban jungle, 150 race teams meet to do battle in the heart of the Mojave Desert in southern California. The format is ""run what ya brung"" Unlimited 4 Wheel Drive Racing, and the stakes are higher than ever. Only 20% of the teams that take the green flag will make it to the end, the remainder being left strewn across the desert floor in the wake of one of the hardest off road races on the planet, the King of the Hammers. Follow teams in 'Element of Survival' as they set out to conquer harsh desert at speeds in excess of 100mph, as well as some of the hardest rock crawling North America has to offer, all in an effort to be crowned ""King"" at the setting of the sun.",2014-10-01,2.2971,0,en,0.0
Fighting Mad,"Ann Fenwick is a witness to a bank robbery in the U.S. and the bandits, led by Trigger and Leon capture her and when she disappears, a warrant is issued for her arrest as a material witness. The bank robbers flee across the border into Canada where they steal a trailer in which they lock Ann and the loot. The hitch breaks and the trailer plunges into a lake. Sergeant Renfrew and Constable Kelly, of the Canadian Mounties, rescue Ann and she tells them she is a hitch-hiking tourist and gives a false name. Renfrew sends Kelly for aid, Ann escapes and Kelly returns with the news that she is wanted. The leader of the gang, Cardigan, sends the gang back for Ann and the loot, which Ann has hidden in a trappers cabin, just before Trigger recaptures her. Renfrew goes to her rescue, but is also captured. But reliable Constable Kelly is somewhere in the woods.",1939-11-05,2.4624,2,en,4.0
The Underground Banker,A man's family is torn apart when his wife takes a loan from a loan shark who will stop at nothing to get his money back.,1994-01-22,2.0613,12,cn,5.8
Hoodwinked Too! Hood VS. Evil,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.",2011-04-29,2.3443,542,en,5.1
The Book of Zombie,"A small, sleepy Utah town gets an undead wake-up call when all of the townspeople of Mormon faith suddenly transform into flesh-eating ghouls! Now, a group of 'non-believers' unaffected by the mysterious epidemic must band together to survive the night and answer the burning question: How do you kill a Mormon zombie?",2010-06-05,0.6927,3,en,5.0
With Aunt It's Not a Sin,"The rich Gloria, resident for years in the United States, returns to live in her native country in Sicily, where she is welcomed by her sister-in-law, widow Antonia and her son Saro. The beautiful Gloria does not fail to arouse particular interest in the inhabitants of the place, especially in a building speculator, the engineer De Vita, who intends at all costs to get hold Gloria's land. She will be able to seduce the man, and then allow herself to the sister-in-law and the nephew before leaving for the USA.",1980-12-23,2.0391,19,it,6.2
Callous,A unique look at criminals and the world they inhabit. An assistant district attorney is dragged into this world to protect his friends but soon learns nothing is what it seems.,2011-01-01,2.5165,0,en,0.0
Zom 100: Bucket List of the Dead,"Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",2023-08-03,1.8536,564,ja,6.6
Haunt,"On Halloween, a group of friends encounter an extreme haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realisation that some nightmares are real.",2019-09-13,1.7974,1249,en,6.7
Dragon Wars: D-War,"Ethan learns he carries the spirit of a warrior who battled dragons in 16th-century Korea -- and one day he'll find a tattooed girl carrying the spirit of that warrior's beloved. Years later, he meets Sarah and dragons soon descend on Los Angeles seeking out the two souls of the ancient lovers.",2007-08-01,2.2273,418,ko,4.5
Johnny Mnemonic,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995-05-26,2.0311,1387,en,5.8
Popstar: Never Stop Never Stopping,"When his new album fails to sell records, pop/rap superstar Conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back, anything except reuniting with his old rap group The Style Boyz.",2016-06-03,1.8366,1257,en,6.62
The Woman in the Window,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,2021-05-13,2.2613,1989,en,6.007
Haunted Hospital: Heilstatten,"Group of Youtubers enter an abandoned surgery ward for 24-hour challenge, hoping to go viral. They will soon learn that they're not welcome.",2018-02-22,1.7646,278,de,5.561
Propiedad Ajena,"The discovery of a diary, written in 1848 in Texas, Mexican territory, triggers Miranda Sámano's decision to travel, illegally to that land, in search of her roots and her origin and to unravel the mysteries written by Amalia Sámano in that diary. The love affair that Miranda has with Matt in Texas seems to be the continuation of the one that Doña Amalia and the Houston army colonel Robert Crossman had almost 160 years ago; and it definitely resembles the relationship that Mexico and the United States have had throughout history and whose tragic outcome we can avoid if we do an exercise of our memory.",2007-11-16,0.7519,7,es,5.3
Cocorico,"The Bouvier-Sauvages, a large aristocratic family, meet the much more modest Martin family when their children's wedding is announced. For the occasion, the future bride and groom offer their parents DNA tests, which will reveal their true origins. The results are totally unexpected and will make the effect of a bomb.",2024-02-07,1.8073,265,fr,5.5
The Best of Enemies,"Centers on the unlikely relationship between Ann Atwater, an outspoken civil rights activist, and C.P. Ellis, a local Ku Klux Klan leader who reluctantly co-chaired a community summit, battling over the desegregation of schools in Durham, North Carolina during the racially-charged summer of 1971. The incredible events that unfolded would change Durham and the lives of Atwater and Ellis forever.",2019-04-05,1.6827,437,en,7.4
Staying Alive,It's five years later and Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenger yet - making it as a dancer on the Broadway stage.,1983-07-11,1.7674,468,en,5.7
The Story of Lovers Rock,"In the 70s and 80s Britain was rife with racial tension and police harassment particularly against black British youths. These youths were the rebel generation who were also searching for an identity. They created a music - a sub genre of reggae known as Lovers Rock. This music became a global brand through artists like UB40 and Maxi Priest. The music brought a level of intimacy between young people that was unique. It was also 'girl power' music that empowered a generation of young women. Through comedy, live performance, dance, interviews and archive the film takes you back to an untold era of British cultural, music and political history.",2011-09-30,0.7391,2,en,6.0
The Long Riders,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980-05-16,1.8754,262,en,6.7
Double Team,"A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world.",1997-04-04,1.7293,772,en,5.1
American Mary,A young medical student struggling to pay tuition is drawn into the shady world of underground body-modification.,2013-01-11,1.9058,533,en,6.2
Elizabethtown,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",2005-10-14,1.7912,1119,en,6.181
2 Million Stupid Women,"A handful of insults and fighting best friends, not quite the Birthday presents every girl hopes for. Melissa s not every girl. She is determined to collect insults from all of her past boyfriends before her birthday night is over. But her journey to rid herself of her bad hook-up karma leads to some pretty strange situations, and by the nights end she might just learn a thing or two about relationships. Will things start looking up for the insulted party girl, or will she be stuck with bad karma for another year?",2009-02-27,0.7262,3,en,3.3
Amigos,"Siddharth, a youngman who runs a family business is astonished to find his doppelgängers Manjunath and Michael on getdopple.com. After meeting up in Goa, they come down to Hyderabad to help Siddarth win over Ishika, a girl looking for superman to be her husband. But things take a drastic turn when NIA swings into action to nab Michael, aka Bipin Roy.",2023-02-10,2.0923,11,te,4.7
On Golden Pond,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",1981-12-04,1.4343,478,en,7.238
The Devil's Backbone,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge.",2001-04-20,1.7789,1239,es,7.3
Ornaments,"Religion, alcohol and politics are three things best avoided at holidays - but it's something this group of friends haven't learned. In this dark comedy, six friends have reunited for what may be their last holiday together.",2008-12-02,2.5281,2,en,1.0
"College Girl: 3 Days, 3 Nights, All Sweaty",Three female college students all need extra credit in order to graduate. So they convince an assistant professor into helping them with a three day cram course… in immersive sex studies.,1979-05-19,2.1263,1,ja,2.0
Cats & Dogs: The Revenge of Kitty Galore,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,2010-07-29,1.9957,643,en,5.198
Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,2020-08-07,1.8269,1177,en,7.5
The Criminal Mind,A Los Angeles district attorney must choose between family loyalty and his job when his long-lost brother turns out to be a powerful mob figure.,1993-10-25,2.3221,3,en,2.3
Hide and Seek,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",2005-01-27,1.8532,1602,en,6.326
3 Ninjas,"Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",1992-08-07,2.1668,443,en,5.7
The Station Agent,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",2003-12-05,1.9,695,en,7.343
The Last Stand of Ellen Cole,"When an evil contractor goes to extreme measures to evict a testy tenant who is standing in the way of his new project, he fails to take into account that this seemingly harmless old woman is a trained killer and will do anything to protect her beloved home.",2024-10-18,1.8294,1,en,6.0
The Escort Wife,A wife who just had a miscarriage finds out that her husband is having an affair with a high-end escort. She turns into prostitution and will take her revenge on her...,2022-09-16,1.9958,9,tl,5.0
The Student,Based on Alexander Griboedov's classical play (1817).,1969-01-01,1.772,0,ru,0.0
The Biggest Little Farm,"The successes and failures of a couple determined to live in harmony with nature on a farm outside of Los Angeles are lovingly chronicled by filmmaking farmer John Chester, in this inspiring documentary.",2019-06-05,1.0269,154,en,7.571
The Concierge,"Welcome to the Hokkyoku Department Store! This unusual shop caters exclusively to animals, furry and feathered alike. Akino is a new concierge in training and she's quickly realizing the high demands of her customers—especially those on the extinct species list. From a sea mink searching for a special gift to a laughing owl looking to please his wife, can she fulfill every request?",2023-10-20,1.9811,24,ja,6.8
Animus: The Tell-Tale Heart,"Edgar Allan Poe's macabre masterpiece of murder and madness, re-imagined as a modern day revenge thriller.",2015-10-31,2.418,2,en,4.5
American Animals,"Lexington, Kentucky, 2004. Four young men attempt to execute one of the most audacious art heists in the history of the United States.",2018-06-01,1.8483,1122,en,6.748
